,Unnamed: 0,Time step,RMSE,Average variance,Number of cells sampled,"Robot (3, 1) distance travelled","Robot (3, 1) idle time","Robot (3, 1) waiting time","Robot (18, 16) distance travelled","Robot (18, 16) idle time","Robot (18, 16) waiting time","Robot (15, 2) distance travelled","Robot (15, 2) idle time","Robot (15, 2) waiting time","Robot (18, 11) distance travelled","Robot (18, 11) idle time","Robot (18, 11) waiting time","Robot (8, 13) distance travelled","Robot (8, 13) idle time","Robot (8, 13) waiting time","Robot (12, 6) distance travelled","Robot (12, 6) idle time","Robot (12, 6) waiting time","Robot (1, 18) distance travelled","Robot (1, 18) idle time","Robot (1, 18) waiting time","Robot (4, 15) distance travelled","Robot (4, 15) idle time","Robot (4, 15) waiting time","Robot (18, 15) distance travelled","Robot (18, 15) idle time","Robot (18, 15) waiting time","Robot (1, 6) distance travelled","Robot (1, 6) idle time","Robot (1, 6) waiting time","Robot (1, 5) distance travelled","Robot (1, 5) idle time","Robot (1, 5) waiting time","Robot (9, 19) distance travelled","Robot (9, 19) idle time","Robot (9, 19) waiting time","Robot (13, 15) distance travelled","Robot (13, 15) idle time","Robot (13, 15) waiting time","Robot (16, 3) distance travelled","Robot (16, 3) idle time","Robot (16, 3) waiting time","Robot (4, 5) distance travelled","Robot (4, 5) idle time","Robot (4, 5) waiting time","Robot (13, 3) distance travelled","Robot (13, 3) idle time","Robot (13, 3) waiting time","Robot (5, 10) distance travelled","Robot (5, 10) idle time","Robot (5, 10) waiting time","Robot (16, 19) distance travelled","Robot (16, 19) idle time","Robot (16, 19) waiting time","Robot (10, 1) distance travelled","Robot (10, 1) idle time","Robot (10, 1) waiting time","Robot (1, 7) distance travelled","Robot (1, 7) idle time","Robot (1, 7) waiting time","Robot (15, 8) distance travelled","Robot (15, 8) idle time","Robot (15, 8) waiting time","Robot (4, 18) distance travelled","Robot (4, 18) idle time","Robot (4, 18) waiting time","Robot (11, 8) distance travelled","Robot (11, 8) idle time","Robot (11, 8) waiting time","Robot (6, 2) distance travelled","Robot (6, 2) idle time","Robot (6, 2) waiting time","Robot (7, 13) distance travelled","Robot (7, 13) idle time","Robot (7, 13) waiting time","Robot (6, 1) distance travelled","Robot (6, 1) idle time","Robot (6, 1) waiting time","Robot (10, 13) distance travelled","Robot (10, 13) idle time","Robot (10, 13) waiting time","Robot (12, 5) distance travelled","Robot (12, 5) idle time","Robot (12, 5) waiting time","Robot (6, 15) distance travelled","Robot (6, 15) idle time","Robot (6, 15) waiting time",total distance travelled,total idle time,total waiting time
215,215.0,216.0,0.009991463639091308,0.011348757344802916,50.0,195.0,20.0,0.0,203.0,12.0,0.0,197.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.0,50.0,0.0
218,218.0,219.0,0.009462434557482264,0.015076565477232138,50.0,,,,,,,,,,201.0,17.0,0.0,201.0,17.0,0.0,202.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.0,50.0,0.0
237,237.0,238.0,0.008996021616230143,0.01130694919116122,50.0,,,,,,,,,,,,,,,,,,,226.0,11.0,0.0,219.0,18.0,0.0,216.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.0,50.0,0.0
216,216.0,217.0,0.0069809121523869465,0.02162634493767971,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,17.0,0.0,200.0,16.0,0.0,199.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,50.0,0.0
348,348.0,349.0,0.008562661443718967,0.019810360488043247,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,34.0,0.0,66.0,5.0,0.0,337.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.0,50.0,0.0
184,184.0,185.0,0.010753945789194691,0.0073051306981677154,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,15.0,0.0,166.0,18.0,0.0,167.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.0,50.0,0.0
208,208.0,209.0,0.010373687159887865,0.010074724992234241,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,16.0,0.0,189.0,19.0,0.0,193.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,574.0,50.0,0.0
223,223.0,224.0,0.01050611589962568,0.0004529321952420384,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,18.0,0.0,207.0,16.0,0.0,207.0,16.0,0.0,,,,,,,,,,,,,,,,619.0,50.0,0.0
222,222.0,223.0,0.010848544073171476,0.0073507489226993065,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,15.0,0.0,203.0,19.0,0.0,206.0,16.0,0.0,,,,,,,616.0,50.0,0.0
234,234.0,235.0,0.01224959839616469,0.0007918042904324442,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,15.0,0.0,218.0,16.0,0.0,652.0,50.0,0.0
