,Unnamed: 0,Time step,RMSE,Average variance,Number of cells sampled,"Robot (1, 9) distance travelled","Robot (1, 9) idle time","Robot (1, 9) waiting time","Robot (17, 17) distance travelled","Robot (17, 17) idle time","Robot (17, 17) waiting time","Robot (10, 5) distance travelled","Robot (10, 5) idle time","Robot (10, 5) waiting time","Robot (8, 10) distance travelled","Robot (8, 10) idle time","Robot (8, 10) waiting time","Robot (7, 10) distance travelled","Robot (7, 10) idle time","Robot (7, 10) waiting time","Robot (1, 10) distance travelled","Robot (1, 10) idle time","Robot (1, 10) waiting time","Robot (12, 13) distance travelled","Robot (12, 13) idle time","Robot (12, 13) waiting time","Robot (3, 8) distance travelled","Robot (3, 8) idle time","Robot (3, 8) waiting time","Robot (5, 13) distance travelled","Robot (5, 13) idle time","Robot (5, 13) waiting time","Robot (14, 6) distance travelled","Robot (14, 6) idle time","Robot (14, 6) waiting time","Robot (15, 14) distance travelled","Robot (15, 14) idle time","Robot (15, 14) waiting time","Robot (7, 9) distance travelled","Robot (7, 9) idle time","Robot (7, 9) waiting time","Robot (12, 17) distance travelled","Robot (12, 17) idle time","Robot (12, 17) waiting time","Robot (2, 1) distance travelled","Robot (2, 1) idle time","Robot (2, 1) waiting time","Robot (2, 13) distance travelled","Robot (2, 13) idle time","Robot (2, 13) waiting time","Robot (2, 7) distance travelled","Robot (2, 7) idle time","Robot (2, 7) waiting time","Robot (4, 19) distance travelled","Robot (4, 19) idle time","Robot (4, 19) waiting time","Robot (10, 8) distance travelled","Robot (10, 8) idle time","Robot (10, 8) waiting time","Robot (2, 8) distance travelled","Robot (2, 8) idle time","Robot (2, 8) waiting time","Robot (14, 13) distance travelled","Robot (14, 13) idle time","Robot (14, 13) waiting time","Robot (13, 14) distance travelled","Robot (13, 14) idle time","Robot (13, 14) waiting time","Robot (15, 9) distance travelled","Robot (15, 9) idle time","Robot (15, 9) waiting time","Robot (12, 15) distance travelled","Robot (12, 15) idle time","Robot (12, 15) waiting time","Robot (3, 14) distance travelled","Robot (3, 14) idle time","Robot (3, 14) waiting time","Robot (15, 8) distance travelled","Robot (15, 8) idle time","Robot (15, 8) waiting time","Robot (2, 5) distance travelled","Robot (2, 5) idle time","Robot (2, 5) waiting time","Robot (17, 14) distance travelled","Robot (17, 14) idle time","Robot (17, 14) waiting time","Robot (17, 2) distance travelled","Robot (17, 2) idle time","Robot (17, 2) waiting time","Robot (6, 9) distance travelled","Robot (6, 9) idle time","Robot (6, 9) waiting time",total distance travelled,total idle time,total waiting time
180,180.0,181.0,0.0015120294557969568,0.008076121275189719,50.0,164.0,16.0,0.0,160.0,20.0,0.0,163.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.0,53.0,0.0
216,216.0,217.0,0.012151466276063602,0.0011760276957436025,50.0,,,,,,,,,,196.0,20.0,0.0,198.0,18.0,0.0,198.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.0,56.0,0.0
188,188.0,189.0,0.006062638847251328,0.003393159146416469,50.0,,,,,,,,,,,,,,,,,,,169.0,19.0,0.0,170.0,18.0,0.0,172.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.0,53.0,0.0
194,194.0,195.0,0.010424602788223805,0.00870779181408801,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,13.0,0.0,173.0,21.0,0.0,176.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.0,52.0,0.0
194,194.0,195.0,0.01253435915985897,5.544254684418037e-05,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,16.0,0.0,179.0,15.0,0.0,171.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.0,54.0,0.0
173,173.0,174.0,0.0009160954880977092,0.006400070728974234,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,15.0,0.0,155.0,18.0,0.0,155.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0,51.0,0.0
192,192.0,193.0,0.010167212753474724,0.01564452811718776,50.0,,,,,,,,,,,,,,,,,,,173.0,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,17.0,0.0,171.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.0,57.0,0.0
212,212.0,213.0,0.005334978651813326,0.0003628930545373935,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,19.0,0.0,195.0,17.0,0.0,197.0,15.0,0.0,,,,,,,,,,,,,,,,,,,585.0,51.0,0.0
179,179.0,180.0,0.010384729687952178,0.008748472563325975,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,15.0,0.0,158.0,21.0,0.0,162.0,17.0,0.0,,,,,,,,,,484.0,53.0,0.0
228,228.0,229.0,0.011168182349959985,1.7332829267923247e-05,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,18.0,0.0,208.0,20.0,0.0,209.0,19.0,0.0,627.0,57.0,0.0
