,Unnamed: 0,Time step,RMSE,Average variance,Number of cells sampled,Average time to complete a task,Maximum visits to a cell,Total distance travelled,Total idle time,Total waiting times
299,299.0,300.0,0.004226141243140878,3.919041983423949e-06,154.0,3.682418656612205,9.0,692.0,205.0,0.0
299,299.0,300.0,0.004906017646997564,0.006778651831808083,165.0,3.0555710955710955,11.0,665.0,232.0,0.0
299,299.0,300.0,0.009745143859027664,0.002455204829472024,164.0,3.045379273504273,17.0,669.0,228.0,0.0
299,299.0,300.0,0.005304354507553155,0.005650662375773182,175.0,2.921435324213102,8.0,665.0,232.0,0.0
299,299.0,300.0,0.007527886603775695,0.003050140423337333,193.0,3.141735709151439,63.0,684.0,213.0,0.0
299,299.0,300.0,0.00039056126841780013,0.000317736880224493,162.0,3.298493867243867,8.0,661.0,236.0,0.0
299,299.0,300.0,0.005366294879139746,0.002361777017010873,233.0,2.7051907941385926,10.0,603.0,294.0,0.0
299,299.0,300.0,0.0020891229499781605,0.007835082319320478,182.0,3.3137634408602152,9.0,571.0,326.0,0.0
299,299.0,300.0,0.0009374759378672543,0.005033802937194156,233.0,2.6755163511187607,8.0,623.0,274.0,0.0
299,299.0,300.0,0.004207641172249603,0.0018003104149942012,89.0,2.4504813947436896,5.0,290.0,607.0,0.0
