,Time step,RMSE,Average variance,Number of cells sampled,"Robot (2, 2) distance travelled","Robot (2, 2) idle time","Robot (2, 2) waiting time","Robot (10, 5) distance travelled","Robot (10, 5) idle time","Robot (10, 5) waiting time","Robot (14, 11) distance travelled","Robot (14, 11) idle time","Robot (14, 11) waiting time"
0,1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0
1,2,21.708362324154514,12.711962626144663,3,0,1,0,0,1,0,0,1,0
2,3,21.708362324154514,12.711962626144663,3,0,2,0,1,1,0,0,2,0
3,4,21.708362324154514,12.711962626144663,3,0,3,0,2,1,0,0,3,0
4,5,21.708362324154514,12.711962626144663,3,0,4,0,3,1,0,0,4,0
5,6,21.708362324154514,12.711962626144663,3,0,5,0,4,1,0,0,5,0
6,7,21.708362324154514,12.711962626144663,3,0,6,0,5,1,0,0,6,0
7,8,20.427148570447315,19.136577333089754,4,0,7,0,5,2,0,1,6,0
8,9,20.427148570447315,19.136577333089754,4,0,8,0,6,2,0,2,6,0
9,10,20.427148570447315,19.136577333089754,4,0,9,0,7,2,0,3,6,0
10,11,20.427148570447315,19.136577333089754,4,0,10,0,8,2,0,4,6,0
11,12,17.484906224095518,270.6132861140331,5,0,11,0,9,2,0,4,7,0
12,13,17.484906224095518,270.6132861140331,5,1,11,0,10,2,0,5,7,0
13,14,17.484906224095518,270.6132861140331,5,2,11,0,11,2,0,6,7,0
14,15,17.484906224095518,270.6132861140331,5,3,11,0,12,2,0,7,7,0
15,16,17.484906224095518,270.6132861140331,5,4,11,0,13,2,0,8,7,0
16,17,16.627855862500287,336.8672242104488,6,5,11,0,13,3,0,9,7,0
17,18,16.627855862500287,336.8672242104488,6,6,11,0,14,3,0,10,7,0
18,19,15.791279298281982,103.42929263381859,8,6,12,0,15,3,0,10,8,0
19,20,15.791279298281982,103.42929263381859,8,7,12,0,16,3,0,11,8,0
20,21,15.791279298281982,103.42929263381859,8,8,12,0,17,3,0,12,8,0
21,22,15.791279298281982,103.42929263381859,8,9,12,0,18,3,0,13,8,0
22,23,15.791279298281982,103.42929263381859,8,10,12,0,19,3,0,14,8,0
23,24,15.791279298281982,103.42929263381859,8,11,12,0,20,3,0,15,8,0
24,25,15.791279298281982,103.42929263381859,8,12,12,0,21,3,0,16,8,0
25,26,16.067716469575796,101.0541998667544,9,13,12,0,22,3,0,16,9,0
26,27,15.972703693991004,236.36123598331653,10,14,12,0,22,4,0,17,9,0
27,28,16.31197894127909,209.19723968689746,12,14,13,0,23,4,0,17,10,0
28,29,16.31197894127909,209.19723968689746,12,15,13,0,24,4,0,18,10,0
29,30,16.598651609319585,209.0334784574235,14,15,14,0,24,5,0,19,10,0
30,31,16.598651609319585,209.0334784574235,14,16,14,0,25,5,0,20,10,0
31,32,16.598651609319585,209.0334784574235,14,17,14,0,26,5,0,21,10,0
32,33,16.598651609319585,209.0334784574235,14,18,14,0,27,5,0,22,10,0
33,34,16.68088346668922,187.4958761319184,15,19,14,0,27,6,0,23,10,0
34,35,16.70065792810293,203.0673620244946,16,20,14,0,28,6,0,23,11,0
35,36,17.282313651587756,213.66757491087156,17,20,15,0,29,6,0,24,11,0
36,37,17.282313651587756,213.66757491087156,17,21,15,0,30,6,0,25,11,0
37,38,17.282313651587756,213.66757491087156,17,22,15,0,31,6,0,26,11,0
38,39,17.282313651587756,213.66757491087156,17,23,15,0,32,6,0,27,11,0
39,40,17.246522620993446,208.01621399796278,18,24,15,0,32,7,0,28,11,0
40,41,17.246522620993446,208.01621399796278,18,25,15,0,33,7,0,29,11,0
41,42,17.233175658567923,203.41316106742923,19,26,15,0,34,7,0,29,12,0
42,43,17.233175658567923,203.41316106742923,19,27,15,0,35,7,0,29,13,0
43,44,17.230702626150897,191.01536362703064,20,27,16,0,36,7,0,30,13,0
44,45,17.212270805365492,209.83626030337678,21,27,17,0,36,8,0,31,13,0
45,46,17.212270805365492,209.83626030337678,21,28,17,0,37,8,0,32,13,0
46,47,17.211504606530653,227.36451677424725,22,29,17,0,37,9,0,33,13,0
47,48,17.211504606530653,227.36451677424725,22,30,17,0,38,9,0,34,13,0
48,49,17.203993594723435,247.55310083785753,25,30,18,0,38,10,0,34,14,0
49,50,17.203993594723435,247.55310083785753,25,30,19,0,39,10,0,34,15,0
50,51,17.166395333243283,245.29468119564612,26,30,20,0,39,11,0,34,16,0
51,52,17.166395333243283,245.29468119564612,26,30,21,0,40,11,0,34,17,0
52,53,17.166395333243283,245.29468119564612,26,30,22,0,41,11,0,34,18,0
53,54,17.166395333243283,245.29468119564612,26,30,23,0,42,11,0,34,19,0
54,55,17.166395333243283,245.29468119564612,26,30,24,0,43,11,0,34,20,0
55,56,17.166395333243283,245.29468119564612,26,30,25,0,44,11,0,34,21,0
56,57,17.166395333243283,245.29468119564612,26,30,26,0,45,11,0,34,22,0
57,58,17.166395333243283,245.29468119564612,26,30,27,0,46,11,0,34,23,0
58,59,17.206063553778908,231.09544322399478,27,30,28,0,46,12,0,34,24,0
59,60,17.206063553778908,231.09544322399478,27,30,29,0,47,12,0,34,25,0
60,61,17.206063553778908,231.09544322399478,27,30,30,0,48,12,0,34,26,0
61,62,17.191654700864444,227.70364017371577,28,30,31,0,48,13,0,34,27,0
62,63,17.191654700864444,227.70364017371577,28,30,32,0,49,13,0,34,28,0
63,64,17.17718193920454,229.61644471690565,29,30,33,0,49,14,0,34,29,0
64,65,17.17718193920454,229.61644471690565,29,30,34,0,50,14,0,34,30,0
65,66,17.17718193920454,229.61644471690565,29,30,35,0,51,14,0,34,31,0
66,67,17.16767547474241,239.5218990677514,30,30,36,0,51,15,0,34,32,0
67,68,17.16767547474241,239.5218990677514,30,31,36,0,52,15,0,34,33,0
68,69,17.16687765426777,252.93805204295037,31,31,37,0,53,15,0,34,34,0
69,70,17.16687765426777,252.93805204295037,31,32,37,0,54,15,0,34,35,0
70,71,17.182817114920887,254.9160930907591,33,32,38,0,54,16,0,34,36,0
71,72,17.182817114920887,254.9160930907591,33,33,38,0,55,16,0,34,37,0
72,73,17.187021970232745,259.93946757718186,34,33,39,0,56,16,0,35,37,0
73,74,17.172042241251376,256.91569203980697,36,34,39,0,56,17,0,35,38,0
74,75,17.172042241251376,256.91569203980697,36,35,39,0,57,17,0,35,39,0
75,76,17.172042241251376,256.91569203980697,36,36,39,0,58,17,0,35,40,0
76,77,17.172341479623512,254.9629039023478,37,36,40,0,59,17,0,35,41,0
77,78,17.172341479623512,254.9629039023478,37,36,41,0,60,17,0,35,42,0
78,79,17.172341479623512,254.9629039023478,37,36,42,0,61,17,0,35,43,0
79,80,17.137578376306095,248.9279685104817,38,36,43,0,61,18,0,35,44,0
80,81,17.137578376306095,248.9279685104817,38,37,43,0,62,18,0,35,45,0
81,82,17.13743493344219,253.22676461450428,39,37,44,0,63,18,0,35,46,0
82,83,17.137614925985627,249.91522401287156,40,38,44,0,63,19,0,35,47,0
83,84,17.137614925985627,249.91522401287156,40,39,44,0,64,19,0,35,48,0
84,85,17.13830421998111,248.40630500542892,41,39,45,0,65,19,0,35,49,0
85,86,17.13830421998111,248.40630500542892,41,40,45,0,66,19,0,35,50,0
86,87,17.13830421998111,248.40630500542892,41,41,45,0,67,19,0,35,51,0
87,88,17.13830421998111,248.40630500542892,41,42,45,0,68,19,0,35,52,0
88,89,17.13830421998111,248.40630500542892,41,43,45,0,69,19,0,35,53,0
89,90,17.1288204833948,228.32880949367083,42,43,46,0,70,19,0,35,54,0
90,91,17.1288204833948,228.32880949367083,42,44,46,0,71,19,0,35,55,0
91,92,17.124851904049066,233.95813593429585,43,45,46,0,71,20,0,35,56,0
92,93,17.124851904049066,233.95813593429585,43,46,46,0,72,20,0,35,57,0
93,94,17.124851904049066,233.95813593429585,43,47,46,0,73,20,0,35,58,0
94,95,17.124851904049066,233.95813593429585,43,48,46,0,74,20,0,35,59,0
95,96,17.125708635608326,233.36163615375972,44,48,47,0,75,20,0,36,59,0
96,97,17.125708635608326,233.36163615375972,44,48,48,0,76,20,0,37,59,0
97,98,17.124793427447916,231.5887235657573,45,48,49,0,77,20,0,37,60,0
98,99,17.124793427447916,231.5887235657573,45,49,49,0,78,20,0,37,61,0
99,100,17.119275392087268,232.00472318619552,47,49,50,0,78,21,0,37,62,0
100,101,17.119275392087268,232.00472318619552,47,50,50,0,79,21,0,37,63,0
101,102,17.119275392087268,232.00472318619552,47,51,50,0,80,21,0,37,64,0
102,103,17.119317041047548,230.61042466923357,48,51,51,0,81,21,0,37,65,0
103,104,17.119317041047548,230.61042466923357,48,52,51,0,82,21,0,37,66,0
104,105,17.119317041047548,230.61042466923357,48,53,51,0,83,21,0,37,67,0
105,106,17.11637032909214,228.78220307925892,49,54,51,0,83,22,0,37,68,0
106,107,17.11637032909214,228.78220307925892,49,55,51,0,84,22,0,37,69,0
107,108,17.11637032909214,228.78220307925892,49,56,51,0,85,22,0,37,70,0
108,109,17.18043409190756,228.11442094322578,51,56,52,0,85,23,0,37,71,0
109,110,17.18043409190756,228.11442094322578,51,56,53,0,86,23,0,37,72,0
110,111,17.18043409190756,228.11442094322578,51,56,54,0,87,23,0,37,73,0
111,112,17.18043409190756,228.11442094322578,51,56,55,0,88,23,0,37,74,0
112,113,17.18288189823653,224.86087402652757,52,56,56,0,88,24,0,38,74,0
113,114,17.183005420639986,223.38543378155978,53,56,57,0,89,24,0,38,75,0
114,115,17.183005420639986,223.38543378155978,53,56,58,0,90,24,0,39,75,0
