,Time step,RMSE,Average variance,Number of cells sampled,"Robot (19, 9) distance travelled","Robot (19, 9) idle time","Robot (19, 9) waiting time","Robot (11, 19) distance travelled","Robot (11, 19) idle time","Robot (11, 19) waiting time","Robot (5, 14) distance travelled","Robot (5, 14) idle time","Robot (5, 14) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.012747212655594562,3.705949127804868e-11,3,0,1,0,0,1,0,0,1,0
2,3,0.012747212655594562,3.705949127804868e-11,3,1,1,0,1,1,0,1,1,0
3,4,0.012747212655594562,3.705949127804868e-11,3,2,1,0,2,1,0,2,1,0
4,5,0.012747212655594562,3.705949127804868e-11,3,3,1,0,3,1,0,3,1,0
5,6,0.012747212655594562,3.705949127804868e-11,3,4,1,0,4,1,0,4,1,0
6,7,0.012747212655594562,3.705949127804868e-11,3,5,1,0,5,1,0,5,1,0
7,8,0.012747212655594562,3.705949127804868e-11,3,6,1,0,6,1,0,6,1,0
8,9,0.012747212655594562,3.705949127804868e-11,3,7,1,0,7,1,0,7,1,0
9,10,0.012747212655594562,3.705949127804868e-11,3,8,1,0,8,1,0,8,1,0
10,11,0.012747212655594562,3.705949127804868e-11,3,9,1,0,9,1,0,9,1,0
11,12,0.012747212655594562,3.705949127804868e-11,3,10,1,0,10,1,0,10,1,0
12,13,0.012747212655594562,3.705949127804868e-11,3,11,1,0,11,1,0,11,1,0
13,14,0.012747212655594562,3.705949127804868e-11,3,12,1,0,12,1,0,12,1,0
14,15,0.012747212655594562,3.705949127804868e-11,3,13,1,0,13,1,0,13,1,0
15,16,0.012747224571458129,3.251321764508621e-11,4,14,1,0,14,1,0,13,2,0
16,17,0.012747224571458129,3.251321764508621e-11,4,15,1,0,15,1,0,14,2,0
17,18,0.012747224571458129,3.251321764508621e-11,4,16,1,0,16,1,0,15,2,0
18,19,0.012747224571458129,3.251321764508621e-11,4,17,1,0,17,1,0,16,2,0
19,20,0.012747224571458129,3.251321764508621e-11,4,18,1,0,18,1,0,17,2,0
20,21,0.012747227803879919,3.1831152157095913e-11,5,19,1,0,18,2,0,18,2,0
21,22,0.012747227803879919,3.1831152157095913e-11,5,20,1,0,19,2,0,19,2,0
22,23,0.012747227803879919,3.1831152157095913e-11,5,21,1,0,20,2,0,20,2,0
23,24,0.012747229245660945,3.106847397720636e-11,6,21,2,0,21,2,0,21,2,0
24,25,0.012747229245660945,3.106847397720636e-11,6,22,2,0,22,2,0,22,2,0
25,26,0.012747229245660945,3.106847397720636e-11,6,23,2,0,23,2,0,23,2,0
26,27,0.012747229245660945,3.106847397720636e-11,6,24,2,0,24,2,0,24,2,0
27,28,0.012747229245660945,3.106847397720636e-11,6,25,2,0,25,2,0,25,2,0
28,29,0.012747229245660945,3.106847397720636e-11,6,26,2,0,26,2,0,26,2,0
29,30,0.012747229245660945,3.106847397720636e-11,6,27,2,0,27,2,0,27,2,0
30,31,0.012747229245660945,3.106847397720636e-11,6,28,2,0,28,2,0,28,2,0
31,32,0.012747229245660945,3.106847397720636e-11,6,29,2,0,29,2,0,29,2,0
32,33,0.012747237483134208,2.8991532570450925e-11,8,30,2,0,29,3,0,29,3,0
33,34,0.012747237483134208,2.8991532570450925e-11,8,31,2,0,30,3,0,30,3,0
34,35,0.012747237483134208,2.8991532570450925e-11,8,32,2,0,31,3,0,31,3,0
35,36,0.012747237483134208,2.8991532570450925e-11,8,33,2,0,32,3,0,32,3,0
36,37,0.012747237483134208,2.8991532570450925e-11,8,34,2,0,33,3,0,33,3,0
37,38,0.012747237646682723,2.900522381777503e-11,9,34,3,0,34,3,0,34,3,0
38,39,0.012747237646682723,2.900522381777503e-11,9,35,3,0,35,3,0,35,3,0
39,40,0.012747237646682723,2.900522381777503e-11,9,36,3,0,36,3,0,36,3,0
40,41,0.012747237646682723,2.900522381777503e-11,9,37,3,0,37,3,0,37,3,0
41,42,0.012747237646682723,2.900522381777503e-11,9,38,3,0,38,3,0,38,3,0
42,43,0.012747237646682723,2.900522381777503e-11,9,39,3,0,39,3,0,39,3,0
43,44,0.012747237646682723,2.900522381777503e-11,9,40,3,0,40,3,0,40,3,0
44,45,0.012747237646682723,2.900522381777503e-11,9,41,3,0,41,3,0,41,3,0
45,46,0.012747237646682723,2.900522381777503e-11,9,42,3,0,42,3,0,42,3,0
46,47,0.012747237646682723,2.900522381777503e-11,9,43,3,0,43,3,0,43,3,0
47,48,0.012747237646682723,2.900522381777503e-11,9,44,3,0,44,3,0,44,3,0
48,49,0.012747237646682723,2.900522381777503e-11,9,45,3,0,45,3,0,45,3,0
49,50,0.012747237646682723,2.900522381777503e-11,9,46,3,0,46,3,0,46,3,0
50,51,0.012747237646682723,2.900522381777503e-11,9,47,3,0,47,3,0,47,3,0
51,52,0.012747237646682723,2.900522381777503e-11,9,48,3,0,48,3,0,48,3,0
52,53,0.012747236076866498,2.2552202898934725e-11,10,49,3,0,49,3,0,48,4,0
53,54,0.012747235864253269,1.984346232894155e-11,11,50,3,0,49,4,0,49,4,0
54,55,0.012747235864253269,1.984346232894155e-11,11,51,3,0,50,4,0,50,4,0
55,56,0.012747236759811207,1.694673579399369e-11,12,51,4,0,51,4,0,51,4,0
56,57,0.012747236759811207,1.694673579399369e-11,12,52,4,0,52,4,0,52,4,0
57,58,0.012747236759811207,1.694673579399369e-11,12,53,4,0,53,4,0,53,4,0
58,59,0.012747236759811207,1.694673579399369e-11,12,54,4,0,54,4,0,54,4,0
59,60,0.012747236759811207,1.694673579399369e-11,12,55,4,0,55,4,0,55,4,0
60,61,0.012747236759811207,1.694673579399369e-11,12,56,4,0,56,4,0,56,4,0
61,62,0.012747236759811207,1.694673579399369e-11,12,57,4,0,57,4,0,57,4,0
62,63,0.00831425891068902,0.004855165215755571,13,58,4,0,58,4,0,57,5,0
63,64,0.009372374112686457,0.016537862919642522,14,58,5,0,59,4,0,58,5,0
64,65,0.009372374112686457,0.016537862919642522,14,59,5,0,60,4,0,59,5,0
65,66,0.004136666492397068,0.018131875845205876,15,60,5,0,60,5,0,60,5,0
66,67,0.004136666492397068,0.018131875845205876,15,61,5,0,61,5,0,61,5,0
67,68,0.004136666492397068,0.018131875845205876,15,62,5,0,62,5,0,62,5,0
68,69,0.004136666492397068,0.018131875845205876,15,63,5,0,63,5,0,63,5,0
69,70,0.004136666492397068,0.018131875845205876,15,64,5,0,64,5,0,64,5,0
70,71,0.004136666492397068,0.018131875845205876,15,65,5,0,65,5,0,65,5,0
71,72,0.004136666492397068,0.018131875845205876,15,66,5,0,66,5,0,66,5,0
72,73,0.004136666492397068,0.018131875845205876,15,67,5,0,67,5,0,67,5,0
73,74,0.004025139995982971,0.016604826021460357,16,68,5,0,68,5,0,67,6,0
74,75,0.004025139995982971,0.016604826021460357,16,69,5,0,69,5,0,68,6,0
75,76,0.004025139995982971,0.016604826021460357,16,70,5,0,70,5,0,69,6,0
76,77,0.004025139995982971,0.016604826021460357,16,71,5,0,71,5,0,70,6,0
77,78,0.004025139995982971,0.016604826021460357,16,72,5,0,72,5,0,71,6,0
78,79,0.004025139995982971,0.016604826021460357,16,73,5,0,73,5,0,72,6,0
79,80,0.0040604097273016955,0.01561044717312404,17,74,5,0,73,6,0,73,6,0
80,81,0.003721385521956847,0.01567152309111044,18,74,6,0,74,6,0,74,6,0
81,82,0.003721385521956847,0.01567152309111044,18,75,6,0,75,6,0,75,6,0
82,83,0.003721385521956847,0.01567152309111044,18,76,6,0,76,6,0,76,6,0
83,84,0.003721385521956847,0.01567152309111044,18,77,6,0,77,6,0,77,6,0
84,85,0.003721385521956847,0.01567152309111044,18,78,6,0,78,6,0,78,6,0
85,86,0.003610895587613459,0.01524575733153883,19,79,6,0,79,6,0,78,7,0
86,87,0.003610895587613459,0.01524575733153883,19,80,6,0,80,6,0,79,7,0
87,88,0.003610895587613459,0.01524575733153883,19,81,6,0,81,6,0,80,7,0
88,89,0.003610895587613459,0.01524575733153883,19,82,6,0,82,6,0,81,7,0
89,90,0.0033667275345287085,0.014580216179463288,20,83,6,0,82,7,0,82,7,0
90,91,0.0033667275345287085,0.014580216179463288,20,84,6,0,83,7,0,83,7,0
91,92,0.0033667275345287085,0.014580216179463288,20,85,6,0,84,7,0,84,7,0
92,93,0.0033667275345287085,0.014580216179463288,20,86,6,0,85,7,0,85,7,0
93,94,0.0033667275345287085,0.014580216179463288,20,87,6,0,86,7,0,86,7,0
94,95,0.0033667275345287085,0.014580216179463288,20,88,6,0,87,7,0,87,7,0
95,96,0.0033667275345287085,0.014580216179463288,20,89,6,0,88,7,0,88,7,0
96,97,0.0033667275345287085,0.014580216179463288,20,90,6,0,89,7,0,89,7,0
97,98,0.0033667275345287085,0.014580216179463288,20,91,6,0,90,7,0,90,7,0
98,99,0.0033667275345287085,0.014580216179463288,20,92,6,0,91,7,0,91,7,0
99,100,0.0033667275345287085,0.014580216179463288,20,93,6,0,92,7,0,92,7,0
100,101,0.0033667275345287085,0.014580216179463288,20,94,6,0,93,7,0,93,7,0
101,102,0.003290553582006135,0.01343497816797287,21,95,6,0,94,7,0,93,8,0
102,103,0.003295562270686166,0.012786176250423316,22,95,7,0,95,7,0,94,8,0
103,104,0.003295562270686166,0.012786176250423316,22,96,7,0,96,7,0,95,8,0
104,105,0.003295562270686166,0.012786176250423316,22,97,7,0,97,7,0,96,8,0
105,106,0.003295562270686166,0.012786176250423316,22,98,7,0,98,7,0,97,8,0
106,107,0.003295562270686166,0.012786176250423316,22,99,7,0,99,7,0,98,8,0
107,108,0.003295562270686166,0.012786176250423316,22,100,7,0,100,7,0,99,8,0
108,109,0.003295562270686166,0.012786176250423316,22,101,7,0,101,7,0,100,8,0
109,110,0.0032678616670265698,0.012297469762970576,23,102,7,0,101,8,0,101,8,0
110,111,0.0032678616670265698,0.012297469762970576,23,103,7,0,102,8,0,102,8,0
111,112,0.0034417989037600826,0.01137384562432897,24,104,7,0,103,8,0,102,9,0
112,113,0.0034417989037600826,0.01137384562432897,24,105,7,0,104,8,0,103,9,0
113,114,0.0034417989037600826,0.01137384562432897,24,106,7,0,105,8,0,104,9,0
114,115,0.0034417989037600826,0.01137384562432897,24,107,7,0,106,8,0,105,9,0
115,116,0.0034417989037600826,0.01137384562432897,24,108,7,0,107,8,0,106,9,0
116,117,0.0034417989037600826,0.01137384562432897,24,109,7,0,108,8,0,107,9,0
117,118,0.0032642171599733105,0.010303992422800536,25,109,8,0,109,8,0,108,9,0
118,119,0.0032642171599733105,0.010303992422800536,25,110,8,0,110,8,0,109,9,0
119,120,0.0032642171599733105,0.010303992422800536,25,111,8,0,111,8,0,110,9,0
120,121,0.0032642171599733105,0.010303992422800536,25,112,8,0,112,8,0,111,9,0
121,122,0.0032642171599733105,0.010303992422800536,25,113,8,0,113,8,0,112,9,0
122,123,0.0032642171599733105,0.010303992422800536,25,114,8,0,114,8,0,113,9,0
123,124,0.003006989975141214,0.009390566831541743,26,115,8,0,114,9,0,114,9,0
124,125,0.003006989975141214,0.009390566831541743,26,116,8,0,115,9,0,115,9,0
125,126,0.0029574970751273296,0.007285640742428608,27,117,8,0,116,9,0,115,10,0
126,127,0.0029574970751273296,0.007285640742428608,27,118,8,0,117,9,0,116,10,0
127,128,0.0029574970751273296,0.007285640742428608,27,119,8,0,118,9,0,117,10,0
128,129,0.006564019986700578,0.009928670259974631,28,119,9,0,119,9,0,118,10,0
129,130,0.006564019986700578,0.009928670259974631,28,120,9,0,120,9,0,119,10,0
130,131,0.006564019986700578,0.009928670259974631,28,121,9,0,121,9,0,120,10,0
131,132,0.006564019986700578,0.009928670259974631,28,122,9,0,122,9,0,121,10,0
132,133,0.006564019986700578,0.009928670259974631,28,123,9,0,123,9,0,122,10,0
133,134,0.004477752252191901,0.00868158098199464,29,124,9,0,123,10,0,123,10,0
134,135,0.004477752252191901,0.00868158098199464,29,125,9,0,124,10,0,124,10,0
135,136,0.004477752252191901,0.00868158098199464,29,126,9,0,125,10,0,125,10,0
136,137,0.004477752252191901,0.00868158098199464,29,127,9,0,126,10,0,126,10,0
137,138,0.0031947061091356747,0.007529547960160592,30,127,10,0,127,10,0,127,10,0
138,139,0.0031947061091356747,0.007529547960160592,30,128,10,0,128,10,0,128,10,0
139,140,0.0031947061091356747,0.007529547960160592,30,129,10,0,129,10,0,129,10,0
140,141,0.011176983706127625,0.00991944334085338,31,130,10,0,130,10,0,129,11,0
141,142,0.011176983706127625,0.00991944334085338,31,131,10,0,131,10,0,130,11,0
142,143,0.011176983706127625,0.00991944334085338,31,132,10,0,132,10,0,131,11,0
143,144,0.011176983706127625,0.00991944334085338,31,133,10,0,133,10,0,132,11,0
144,145,0.011176983706127625,0.00991944334085338,31,134,10,0,134,10,0,133,11,0
145,146,0.011176983706127625,0.00991944334085338,31,135,10,0,135,10,0,134,11,0
146,147,0.011176983706127625,0.00991944334085338,31,136,10,0,136,10,0,135,11,0
147,148,0.011176983706127625,0.00991944334085338,31,137,10,0,137,10,0,136,11,0
148,149,0.011176983706127625,0.00991944334085338,31,138,10,0,138,10,0,137,11,0
149,150,0.011178030350377762,0.009561921783575943,32,139,10,0,138,11,0,138,11,0
150,151,0.011178030350377762,0.009561921783575943,32,140,10,0,139,11,0,139,11,0
151,152,0.011178030350377762,0.009561921783575943,32,141,10,0,140,11,0,140,11,0
152,153,0.011178030350377762,0.009561921783575943,32,142,10,0,141,11,0,141,11,0
153,154,0.011178030350377762,0.009561921783575943,32,143,10,0,142,11,0,142,11,0
154,155,0.011162166022107418,0.009236512914217223,33,143,11,0,143,11,0,143,11,0
155,156,0.004436532101044476,0.007192420870164897,34,144,11,0,144,11,0,143,12,0
156,157,0.004436532101044476,0.007192420870164897,34,145,11,0,145,11,0,144,12,0
