,trial_num,Run,Average Variance,Average time to complete a task,Maximum visits to a cell,RMSE,Step number,Total cells sampled,Total distance travelled,Total idle time,Total waiting time,width,height,task_allocation,num_robots,results_dir
0,1,20,0.007541038053206296,13.33578431372549,6.0,0.010817537824938243,50,50,676,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
72,75,20,0.0022868174732158944,14.3188995215311,53.0,0.01171354811504141,50,50,679,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
71,73,20,0.013643289810316268,15.98116219667944,83.0,0.009478898215621603,50,50,728,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
70,71,20,0.016028091592093566,10.957614624797287,6.0,0.009292854187148427,50,50,547,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
69,70,20,0.007533033611919772,11.753654970760236,10.0,0.010790116999175781,50,50,595,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
68,67,20,0.021966805614419507,23.273931623931627,101.0,0.008123180348459292,52,52,808,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
67,68,20,0.01310955918948384,10.024782135076252,7.0,0.009560892621897587,51,51,520,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
66,69,20,0.0011534048136331914,11.745370370370372,8.0,0.011975903780807724,50,50,604,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
65,66,20,0.014002963640345341,10.872331154684096,5.0,0.009608911447537059,50,50,550,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
64,64,20,0.007655286156631771,13.923015873015872,9.0,0.010674919015547268,50,50,641,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
63,63,20,0.013618448528139577,9.423042901371074,5.0,0.009543660591535769,50,50,472,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
62,61,20,0.004814110729606048,13.356481481481481,93.0,0.011209684786343661,50,50,847,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
61,65,20,0.000720780335190799,11.537353801169589,11.0,0.012238971273155794,50,50,586,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
60,62,20,0.013543560077505951,10.89934640522876,22.0,0.00955751811392304,50,50,601,50,0,20,20,RR,3,./results/RRTA_3robs_20x20/
