,trial_num,Run,Average Variance,Average time to complete a task,Maximum visits to a cell,RMSE,Step number,Total cells sampled,Total distance travelled,Total idle time,Total waiting time,width,height,task_allocation,num_robots,sampling_strategy,results_dir,vis_freq
0,1,162,53.49053195598466,40.166666666666664,2.0,14.021924807309754,100,6,292,5,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
1,2,162,146.8345656074653,29.88888888888889,2.0,11.391807553563085,100,7,290,7,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
2,3,162,121.52499322688618,22.0,2.0,14.849456436178862,100,5,292,5,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
3,4,162,637.3561737601846,25.5,1.0,14.533554852360176,100,5,292,5,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
4,5,162,111.60110753475253,22.0,1.0,11.868899035068766,100,5,292,5,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
5,6,162,304.8639299094253,14.333333333333334,1.0,19.651782018248948,100,4,293,4,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
6,7,162,428.75310592319124,31.0,2.0,7.3565034996656555,100,5,292,5,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
7,8,162,170.09755654765104,25.666666666666668,1.0,14.213960948301601,100,6,291,6,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
8,9,162,152.1540239564317,30.333333333333332,2.0,15.604779547885085,100,6,291,6,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
9,10,162,275.60058415139616,18.61111111111111,1.0,17.495549698811402,100,6,292,5,0,162,110,Round Robin,3,Dynamic,./results/RR_DS_3robs_20x20/,5
