,Time step,RMSE,Average variance,Number of cells sampled,Average time to complete a task,Maximum visits to a cell,Total distance travelled,Total idle time,Total waiting times,"Robot (8, 10) distance travelled","Robot (8, 10) idle time","Robot (8, 10) waiting time","Robot (5, 3) distance travelled","Robot (5, 3) idle time","Robot (5, 3) waiting time","Robot (18, 10) distance travelled","Robot (18, 10) idle time","Robot (18, 10) waiting time"
0,1,,,0,,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.017098766388961892,0.037519994539502034,3,0.0,1.0,0,3,0,0,1,0,0,1,0,0,1,0
2,3,0.017098766388961892,0.037519994539502034,3,0.0,1.0,3,3,0,1,1,0,1,1,0,1,1,0
3,4,0.015419338097943791,0.023649490669805876,4,0.16666666666666666,1.0,5,4,0,1,2,0,2,1,0,2,1,0
4,5,0.015419338097943791,0.023649490669805876,4,0.16666666666666666,1.0,8,4,0,2,2,0,3,1,0,3,1,0
5,6,0.015419338097943791,0.023649490669805876,4,0.16666666666666666,1.0,11,4,0,3,2,0,4,1,0,4,1,0
6,7,0.015419338097943791,0.023649490669805876,4,0.16666666666666666,1.0,14,4,0,4,2,0,5,1,0,5,1,0
7,8,0.015419338097943791,0.023649490669805876,4,0.16666666666666666,1.0,17,4,0,5,2,0,6,1,0,6,1,0
8,9,0.013701867393018033,0.015948181591527028,5,1.1666666666666667,1.0,19,5,0,6,2,0,7,1,0,6,2,0
9,10,0.013701867393018033,0.015948181591527028,5,1.1666666666666667,1.0,22,5,0,7,2,0,8,1,0,7,2,0
10,11,0.013701867393018033,0.015948181591527028,5,1.1666666666666667,1.0,25,5,0,8,2,0,9,1,0,8,2,0
11,12,0.01287340917447446,0.01623716626373799,6,2.6666666666666665,1.0,27,6,0,9,2,0,9,2,0,9,2,0
12,13,0.01287340917447446,0.01623716626373799,6,2.6666666666666665,1.0,30,6,0,10,2,0,10,2,0,10,2,0
13,14,0.014718976178979246,0.013830412315095289,7,2.777777777777778,1.0,32,7,0,11,2,0,11,2,0,10,3,0
14,15,0.014718976178979246,0.013830412315095289,7,2.777777777777778,1.0,35,7,0,12,2,0,12,2,0,11,3,0
15,16,0.014718976178979246,0.013830412315095289,7,2.777777777777778,2.0,38,7,0,13,2,0,13,2,0,12,3,0
16,17,0.013652245370504211,0.011573327660855228,8,4.055555555555555,2.0,40,8,0,13,3,0,14,2,0,13,3,0
17,18,0.013908967324830752,0.009817113662075794,9,4.027777777777778,2.0,42,9,0,14,3,0,15,2,0,13,4,0
18,19,0.013908967324830752,0.009817113662075794,9,4.027777777777778,2.0,45,9,0,15,3,0,16,2,0,14,4,0
19,20,0.013908967324830752,0.009817113662075794,9,4.027777777777778,2.0,48,9,0,16,3,0,17,2,0,15,4,0
20,21,0.013908967324830752,0.009817113662075794,9,4.027777777777778,2.0,51,9,0,17,3,0,18,2,0,16,4,0
21,22,0.01069439308774632,0.008526312543441621,10,4.01111111111111,2.0,53,10,0,18,3,0,19,2,0,16,5,0
22,23,0.01069439308774632,0.008526312543441621,10,4.01111111111111,3.0,56,10,0,19,3,0,20,2,0,17,5,0
23,24,0.01069439308774632,0.008526312543441621,10,4.01111111111111,3.0,59,10,0,20,3,0,21,2,0,18,5,0
24,25,0.009616657593809402,0.007595236965783763,11,4.844444444444444,3.0,61,11,0,21,3,0,21,3,0,19,5,0
25,26,0.009616657593809402,0.007595236965783763,11,4.844444444444444,3.0,64,11,0,22,3,0,22,3,0,20,5,0
26,27,0.009616657593809402,0.007595236965783763,11,4.844444444444444,3.0,67,11,0,23,3,0,23,3,0,21,5,0
27,28,0.0075884055806732745,0.006958591236185791,12,5.316666666666666,3.0,69,12,0,23,4,0,24,3,0,22,5,0
28,29,0.0075884055806732745,0.006958591236185791,12,5.316666666666666,3.0,72,12,0,24,4,0,25,3,0,23,5,0
29,30,0.0075884055806732745,0.006958591236185791,12,5.316666666666666,3.0,75,12,0,25,4,0,26,3,0,24,5,0
30,31,0.00694431506148875,0.006043013788220028,13,5.583333333333333,3.0,77,13,0,26,4,0,27,3,0,24,6,0
31,32,0.00694431506148875,0.006043013788220028,13,5.583333333333333,3.0,80,13,0,27,4,0,28,3,0,25,6,0
32,33,0.00694431506148875,0.006043013788220028,13,5.583333333333333,3.0,83,13,0,28,4,0,29,3,0,26,6,0
33,34,0.00694431506148875,0.006043013788220028,13,5.583333333333333,3.0,86,13,0,29,4,0,30,3,0,27,6,0
34,35,0.00694431506148875,0.006043013788220028,13,5.583333333333333,3.0,89,13,0,30,4,0,31,3,0,28,6,0
35,36,0.00694431506148875,0.006043013788220028,13,5.583333333333333,3.0,92,13,0,31,4,0,32,3,0,29,6,0
36,37,0.014695900406395736,0.018401629543639407,14,5.916666666666667,3.0,94,14,0,32,4,0,32,4,0,30,6,0
37,38,0.014695900406395736,0.018401629543639407,14,5.916666666666667,3.0,97,14,0,33,4,0,33,4,0,31,6,0
