,trial_num,Run,Average Variance,Average time to complete a task,Maximum visits to a cell,RMSE,Step number,Total cells sampled,Total distance travelled,Total idle time,Total waiting time,width,height,task_allocation,num_robots,sampling_strategy,results_dir,vis_freq
0,1,162,93.32396663274064,52.866666666666674,2.0,11.620897635160274,240,11,706,11,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
1,2,162,51.93887689604815,42.68809523809524,2.0,9.238121056989915,240,16,701,16,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
2,3,162,48.75104388624574,43.583333333333336,3.0,2.9614149202973494,240,16,701,16,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
3,4,162,24.88637227915895,33.85714285714286,2.0,3.4280182156326195,240,20,697,20,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
4,5,162,31.087612963612095,38.01111111111111,2.0,5.449633635048255,240,15,702,15,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
5,6,162,138.24615558715243,52.833333333333336,2.0,14.861944598809867,240,11,706,11,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
6,7,162,69.95657781352081,40.733333333333334,2.0,5.885444751834671,240,15,702,15,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
7,8,162,66.78392272080788,40.27222222222222,2.0,6.120512201687754,240,15,702,15,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
8,9,162,50.67795329225653,52.61111111111111,2.0,3.582846636661248,240,13,704,13,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
9,10,162,144.34291436801263,50.444444444444436,2.0,12.977852862493538,240,13,704,13,0,162,110,Round Robin,3,Random,./results/RR_RS_3robs_20x20/,5
