,Time step,RMSE,Average variance,Number of cells sampled,"Robot (11, 3) distance travelled","Robot (11, 3) idle time","Robot (11, 3) waiting time","Robot (4, 6) distance travelled","Robot (4, 6) idle time","Robot (4, 6) waiting time","Robot (3, 7) distance travelled","Robot (3, 7) idle time","Robot (3, 7) waiting time"
0,1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0
1,2,17.4875478738018,147.5350730338397,3,0,1,0,0,1,0,0,1,0
2,3,17.4875478738018,147.5350730338397,3,1,1,0,1,1,0,0,2,0
3,4,17.4875478738018,147.5350730338397,3,2,1,0,2,1,0,0,3,0
4,5,17.4875478738018,147.5350730338397,3,3,1,0,3,1,0,0,4,0
5,6,17.4875478738018,147.5350730338397,3,4,1,0,4,1,0,0,5,0
6,7,17.4875478738018,147.5350730338397,3,5,1,0,5,1,0,0,6,0
7,8,17.4875478738018,147.5350730338397,3,6,1,0,6,1,0,0,7,0
8,9,18.02702348716905,180.87998810527506,5,6,2,0,6,2,0,1,7,0
9,10,18.02702348716905,180.87998810527506,5,7,2,0,6,3,0,2,7,0
10,11,18.02702348716905,180.87998810527506,5,8,2,0,6,4,0,3,7,0
11,12,18.02702348716905,180.87998810527506,5,9,2,0,6,5,0,4,7,0
12,13,18.02702348716905,180.87998810527506,5,10,2,0,6,6,0,5,7,0
13,14,18.02702348716905,180.87998810527506,5,11,2,0,6,7,0,6,7,0
14,15,17.242439213357287,124.51196766587226,6,12,2,0,6,8,0,6,8,0
15,16,17.242439213357287,124.51196766587226,6,13,2,0,7,8,0,6,9,0
16,17,17.351517864493854,62.06791867236931,7,13,3,0,8,8,0,6,10,0
17,18,17.351517864493854,62.06791867236931,7,14,3,0,9,8,0,6,11,0
18,19,17.36593160391587,36.022493044121475,8,14,4,0,10,8,0,6,12,0
19,20,17.36593160391587,36.022493044121475,8,15,4,0,11,8,0,6,13,0
20,21,17.402103826052276,39.81026381227726,9,15,5,0,12,8,0,7,13,0
21,22,17.402103826052276,39.81026381227726,9,16,5,0,13,8,0,8,13,0
22,23,19.075189537295106,83.90978292218732,10,17,5,0,13,9,0,9,13,0
23,24,18.63612596902974,63.426315879881315,11,17,6,0,13,10,0,10,13,0
24,25,19.992705842210654,140.98234220335024,12,18,6,0,13,11,0,10,14,0
25,26,19.992705842210654,140.98234220335024,12,19,6,0,13,12,0,11,14,0
26,27,19.992705842210654,140.98234220335024,12,20,6,0,13,13,0,12,14,0
27,28,19.992705842210654,140.98234220335024,12,21,6,0,13,14,0,13,14,0
28,29,19.992705842210654,140.98234220335024,12,22,6,0,13,15,0,14,14,0
29,30,19.992705842210654,140.98234220335024,12,23,6,0,13,16,0,15,14,0
30,31,18.724139364640916,50.89676424805389,13,24,6,0,13,17,0,15,15,0
31,32,18.37259675110905,44.443305609718166,14,24,7,0,13,18,0,16,15,0
32,33,18.639613312190853,61.368783056183084,15,25,7,0,13,19,0,16,16,0
33,34,18.59947002886361,63.232569075509936,16,25,8,0,13,20,0,17,16,0
34,35,18.471046472069908,65.30635835941175,17,26,8,0,13,21,0,17,17,0
35,36,18.471046472069908,65.30635835941175,17,27,8,0,13,22,0,18,17,0
36,37,18.66336749757329,52.796818867440955,18,27,9,0,14,22,0,19,17,0
37,38,18.599392305942846,49.4195165570696,19,28,9,0,15,22,0,19,18,0
38,39,18.599392305942846,49.4195165570696,19,29,9,0,16,22,0,20,18,0
39,40,17.047695741457865,125.87196115747832,21,29,10,0,17,22,0,20,19,0
40,41,17.047695741457865,125.87196115747832,21,30,10,0,18,22,0,21,19,0
41,42,16.997713656166397,124.76668264831231,23,30,11,0,19,22,0,21,20,0
42,43,16.997713656166397,124.76668264831231,23,31,11,0,20,22,0,22,20,0
43,44,17.48812807860746,123.56683334167691,25,32,11,0,20,23,0,22,21,0
44,45,17.499697059065117,129.5437785920488,26,32,12,0,21,23,0,23,21,0
45,46,17.499697059065117,129.5437785920488,26,33,12,0,22,23,0,24,21,0
