,trial_num,Run,Average Variance,Average time to complete a task,Maximum visits to a cell,RMSE,Step number,Total cells sampled,Total distance travelled,Total idle time,Total waiting time,width,height,task_allocation,num_robots,sampling_strategy,results_dir,vis_freq
0,1,162,81.18531063929959,34.72222222222222,2.0,13.656156205474176,100,7,290,7,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
1,2,162,53.37904223195587,33.69444444444444,1.0,6.368116853773785,100,9,288,9,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
2,3,162,66.81585098629446,37.0,2.0,17.17856750795329,100,6,291,6,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
3,4,162,203.9360066584142,37.333333333333336,2.0,5.6653778024516495,100,6,291,6,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
4,5,162,118.46000148900863,18.222222222222225,2.0,7.403158250515298,100,7,225,72,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
5,6,162,324.53565436941835,0.0,1.0,22.184187005252806,100,3,294,3,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
6,7,162,628.7695558779718,47.0,2.0,11.792938078235146,100,6,291,6,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
7,8,162,139.15836259140215,28.833333333333332,1.0,11.618470321537579,100,6,291,6,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
8,9,162,162.83079322332674,19.5,2.0,12.72585423971197,100,7,290,7,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
9,10,162,159.90966282751288,14.777777777777779,1.0,9.455126207593631,100,7,290,7,0,162,110,Sequential Single Item (SSI) auction,3,Dynamic,./results/SSI_DS_3robs_20x20/,5
