,Time step,RMSE,Average variance,Number of cells sampled,Average time to complete a task,Maximum visits to a cell,Total distance travelled,Total idle time,Total waiting times,"Robot (5, 19) distance travelled","Robot (5, 19) idle time","Robot (5, 19) waiting time","Robot (16, 15) distance travelled","Robot (16, 15) idle time","Robot (16, 15) waiting time","Robot (4, 16) distance travelled","Robot (4, 16) idle time","Robot (4, 16) waiting time"
0,1,,,0,,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.012747268407393915,1.6266110485665304e-16,3,0.0,1.0,0,3,0,0,1,0,0,1,0,0,1,0
2,3,0.012747268407393915,1.6266110485665304e-16,3,0.0,1.0,2,4,0,1,1,0,0,2,0,1,1,0
3,4,0.012747268426739743,1.5519755738532877e-16,5,0.3333333333333333,1.0,3,6,0,1,2,0,1,2,0,1,2,0
4,5,0.012747268426739743,1.5519755738532877e-16,5,0.3333333333333333,1.0,5,7,0,1,3,0,2,2,0,2,2,0
5,6,0.012747268426739743,1.5519755738532877e-16,5,0.3333333333333333,1.0,7,8,0,1,4,0,3,2,0,3,2,0
6,7,0.012747268426739743,1.5519755738532877e-16,5,0.3333333333333333,1.0,9,9,0,1,5,0,4,2,0,4,2,0
7,8,0.012747268438980986,1.491978392209188e-16,6,0.611111111111111,1.0,10,11,0,1,6,0,5,2,0,4,3,0
8,9,0.012747268438980986,1.491978392209188e-16,6,0.611111111111111,1.0,13,11,0,2,6,0,6,2,0,5,3,0
9,10,0.012747268438980986,1.491978392209188e-16,6,0.611111111111111,1.0,16,11,0,3,6,0,7,2,0,6,3,0
10,11,0.012747268438980986,1.491978392209188e-16,6,0.611111111111111,1.0,19,11,0,4,6,0,8,2,0,7,3,0
11,12,0.012747268447839301,1.4389682694677176e-16,7,0.8888888888888888,1.0,21,12,0,4,7,0,9,2,0,8,3,0
12,13,0.012724029196946728,1.7228425934605454e-06,8,2.388888888888889,1.0,22,14,0,4,8,0,9,3,0,9,3,0
13,14,0.012724029196946728,1.7228425934605454e-06,8,2.388888888888889,1.0,24,15,0,4,9,0,10,3,0,10,3,0
14,15,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,1.0,25,17,0,4,10,0,11,3,0,10,4,0
15,16,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,1.0,27,18,0,4,11,0,12,3,0,11,4,0
16,17,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,1.0,29,19,0,4,12,0,13,3,0,12,4,0
17,18,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,1.0,31,20,0,4,13,0,14,3,0,13,4,0
18,19,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,1.0,33,21,0,4,14,0,15,3,0,14,4,0
19,20,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,1.0,35,22,0,4,15,0,16,3,0,15,4,0
20,21,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,2.0,37,23,0,4,16,0,17,3,0,16,4,0
21,22,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,2.0,39,24,0,4,17,0,18,3,0,17,4,0
22,23,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,2.0,41,25,0,4,18,0,19,3,0,18,4,0
23,24,0.01272663663290153,1.312925481814097e-06,9,2.7777777777777772,2.0,43,26,0,4,19,0,20,3,0,19,4,0
24,25,0.01272758426587237,1.2151787321121844e-06,10,3.211111111111111,2.0,44,28,0,4,20,0,21,3,0,19,5,0
25,26,0.01272042388455985,1.0974310854503967e-06,11,4.044444444444444,2.0,46,29,0,5,20,0,21,4,0,20,5,0
26,27,0.012720756825986128,1.0878217336603608e-06,12,3.8888888888888893,2.0,48,30,0,6,20,0,22,4,0,20,6,0
27,28,0.012720756825986128,1.0878217336603608e-06,12,3.8888888888888893,2.0,51,30,0,7,20,0,23,4,0,21,6,0
28,29,0.012720756825986128,1.0878217336603608e-06,12,3.8888888888888893,3.0,54,30,0,8,20,0,24,4,0,22,6,0
29,30,0.012720756825986128,1.0878217336603608e-06,12,3.8888888888888893,3.0,57,30,0,9,20,0,25,4,0,23,6,0
30,31,0.012720756825986128,1.0878217336603608e-06,12,3.8888888888888893,3.0,60,30,0,10,20,0,26,4,0,24,6,0
31,32,0.012721059580028362,1.050173721723559e-06,13,3.920634920634921,3.0,62,31,0,11,20,0,27,4,0,24,7,0
32,33,0.012721059580028362,1.050173721723559e-06,13,3.920634920634921,3.0,65,31,0,12,20,0,28,4,0,25,7,0
33,34,0.012721198185573806,1.0297766342029572e-06,14,3.8194444444444446,3.0,67,32,0,13,20,0,29,4,0,25,8,0
34,35,0.012721198185573806,1.0297766342029572e-06,14,3.8194444444444446,3.0,70,32,0,14,20,0,30,4,0,26,8,0
35,36,0.012721198185573806,1.0297766342029572e-06,14,3.8194444444444446,3.0,73,32,0,15,20,0,31,4,0,27,8,0
36,37,0.012721198185573806,1.0297766342029572e-06,14,3.8194444444444446,3.0,76,32,0,16,20,0,32,4,0,28,8,0
37,38,0.012721448162951308,9.437901975751113e-07,15,3.814814814814815,3.0,78,33,0,17,20,0,33,4,0,28,9,0
38,39,0.012721448162951308,9.437901975751113e-07,15,3.814814814814815,3.0,81,33,0,18,20,0,34,4,0,29,9,0
39,40,0.012721448162951308,9.437901975751113e-07,15,3.814814814814815,3.0,84,33,0,19,20,0,35,4,0,30,9,0
40,41,0.012721448162951308,9.437901975751113e-07,15,3.814814814814815,3.0,87,33,0,20,20,0,36,4,0,31,9,0
41,42,0.012721448162951308,9.437901975751113e-07,15,3.814814814814815,3.0,90,33,0,21,20,0,37,4,0,32,9,0
42,43,0.012724534851907053,7.726763965507459e-07,17,4.594444444444445,3.0,91,35,0,22,20,0,37,5,0,32,10,0
43,44,0.012724534851907053,7.726763965507459e-07,17,4.594444444444445,3.0,94,35,0,23,20,0,38,5,0,33,10,0
44,45,0.012724534851907053,7.726763965507459e-07,17,4.594444444444445,3.0,97,35,0,24,20,0,39,5,0,34,10,0
45,46,0.012724534851907053,7.726763965507459e-07,17,4.594444444444445,3.0,100,35,0,25,20,0,40,5,0,35,10,0
46,47,0.012725105979174473,6.517844770475163e-07,18,4.177777777777778,3.0,102,36,0,26,20,0,40,6,0,36,10,0
47,48,0.012725105979174473,6.517844770475163e-07,18,4.177777777777778,3.0,105,36,0,27,20,0,41,6,0,37,10,0
