,Time step,RMSE,Average variance,Number of cells sampled,"Robot (8, 19) distance travelled","Robot (8, 19) idle time","Robot (8, 19) waiting time","Robot (19, 3) distance travelled","Robot (19, 3) idle time","Robot (19, 3) waiting time","Robot (18, 8) distance travelled","Robot (18, 8) idle time","Robot (18, 8) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.012747268517206532,2.1617567253048067e-18,3,0,1,0,0,1,0,0,1,0
2,3,0.012747268517206532,2.1617567253048067e-18,3,1,1,0,1,1,0,0,2,0
3,4,0.012747268516349051,2.1053883893458875e-18,4,1,2,0,2,1,0,0,3,0
4,5,0.012747268518091315,2.0385281972266103e-18,5,2,2,0,2,2,0,1,3,0
5,6,0.012747268518091315,2.0385281972266103e-18,5,3,2,0,3,2,0,2,3,0
6,7,0.012747268518091315,2.0385281972266103e-18,5,4,2,0,4,2,0,3,3,0
7,8,0.012747268518091315,2.0385281972266103e-18,5,5,2,0,5,2,0,4,3,0
8,9,0.012747268518091315,2.0385281972266103e-18,5,6,2,0,6,2,0,5,3,0
9,10,0.012747268518091315,2.0385281972266103e-18,5,7,2,0,7,2,0,6,3,0
10,11,0.012747268518091315,2.0385281972266103e-18,5,8,2,0,8,2,0,7,3,0
11,12,0.012747268520879755,1.506808418078008e-18,6,8,3,0,9,2,0,8,3,0
12,13,0.012747268520879755,1.506808418078008e-18,6,8,4,0,10,2,0,9,3,0
13,14,0.012747268520879755,1.506808418078008e-18,6,8,5,0,11,2,0,10,3,0
14,15,0.012747267984080516,9.488192968536162e-15,7,8,6,0,12,2,0,10,4,0
15,16,0.012741459237933628,7.725532834235538e-08,8,8,7,0,12,3,0,11,4,0
16,17,0.012741459237933628,7.725532834235538e-08,8,9,7,0,13,3,0,12,4,0
17,18,0.012741459237933628,7.725532834235538e-08,8,10,7,0,14,3,0,13,4,0
18,19,0.012741459237933628,7.725532834235538e-08,8,11,7,0,15,3,0,14,4,0
19,20,0.012741459237933628,7.725532834235538e-08,8,12,7,0,16,3,0,15,4,0
20,21,0.012741459237933628,7.725532834235538e-08,8,13,7,0,17,3,0,16,4,0
21,22,0.012741459237933628,7.725532834235538e-08,8,14,7,0,18,3,0,17,4,0
22,23,0.012741459237933628,7.725532834235538e-08,8,15,7,0,19,3,0,18,4,0
23,24,0.012742532388914998,4.318678359285517e-08,10,15,8,0,20,3,0,18,5,0
24,25,0.012742532388914998,4.318678359285517e-08,10,16,8,0,21,3,0,19,5,0
25,26,0.012742532388914998,4.318678359285517e-08,10,17,8,0,22,3,0,20,5,0
26,27,0.012742532388914998,4.318678359285517e-08,10,18,8,0,23,3,0,21,5,0
27,28,0.012742532388914998,4.318678359285517e-08,10,19,8,0,24,3,0,22,5,0
28,29,0.012459365173805675,3.3171376880181256e-05,11,20,8,0,25,3,0,22,6,0
29,30,0.012459365173805675,3.3171376880181256e-05,11,21,8,0,26,3,0,23,6,0
30,31,0.012459365173805675,3.3171376880181256e-05,11,22,8,0,27,3,0,24,6,0
31,32,0.012478343601794346,4.2089749873831774e-05,12,23,8,0,27,4,0,25,6,0
32,33,0.012478343601794346,4.2089749873831774e-05,12,24,8,0,28,4,0,26,6,0
33,34,0.012478343601794346,4.2089749873831774e-05,12,25,8,0,29,4,0,27,6,0
34,35,0.012478343601794346,4.2089749873831774e-05,12,26,8,0,30,4,0,28,6,0
35,36,0.012451937998489033,2.5508761216419316e-05,13,27,8,0,31,4,0,28,7,0
36,37,0.012451937998489033,2.5508761216419316e-05,13,28,8,0,32,4,0,29,7,0
37,38,0.012451937998489033,2.5508761216419316e-05,13,29,8,0,33,4,0,30,7,0
38,39,0.012451937998489033,2.5508761216419316e-05,13,30,8,0,34,4,0,31,7,0
39,40,0.012483614802978018,3.348875585021976e-05,14,30,9,0,35,4,0,32,7,0
40,41,0.012483614802978018,3.348875585021976e-05,14,31,9,0,36,4,0,33,7,0
41,42,0.012483614802978018,3.348875585021976e-05,14,32,9,0,37,4,0,34,7,0
42,43,0.01248534908104063,2.9686719431538398e-05,15,33,9,0,38,4,0,34,8,0
43,44,0.01248534908104063,2.9686719431538398e-05,15,34,9,0,39,4,0,35,8,0
44,45,0.01248534908104063,2.9686719431538398e-05,15,35,9,0,40,4,0,36,8,0
45,46,0.01248534908104063,2.9686719431538398e-05,15,36,9,0,41,4,0,37,8,0
46,47,0.01248534908104063,2.9686719431538398e-05,15,37,9,0,42,4,0,38,8,0
47,48,0.012472287479392647,2.5795000300260277e-05,16,38,9,0,43,4,0,38,9,0
48,49,0.012472287479392647,2.5795000300260277e-05,16,39,9,0,44,4,0,39,9,0
49,50,0.012472287479392647,2.5795000300260277e-05,16,40,9,0,45,4,0,40,9,0
50,51,0.012473707342745744,2.457279592287465e-05,17,40,10,0,46,4,0,41,9,0
51,52,0.012473707342745744,2.457279592287465e-05,17,41,10,0,47,4,0,42,9,0
52,53,0.012476515601608609,2.3907927159175017e-05,18,42,10,0,48,4,0,42,10,0
53,54,0.012476515601608609,2.3907927159175017e-05,18,43,10,0,49,4,0,43,10,0
54,55,0.012476515601608609,2.3907927159175017e-05,18,44,10,0,50,4,0,44,10,0
55,56,0.012470861922076217,2.2761382440551732e-05,19,44,11,0,51,4,0,45,10,0
56,57,0.01240447401545683,1.956564896849929e-05,20,45,11,0,51,5,0,46,10,0
57,58,0.01240447401545683,1.956564896849929e-05,20,46,11,0,52,5,0,47,10,0
58,59,0.01240447401545683,1.956564896849929e-05,20,47,11,0,53,5,0,48,10,0
59,60,0.01240447401545683,1.956564896849929e-05,20,48,11,0,54,5,0,49,10,0
60,61,0.01240447401545683,1.956564896849929e-05,20,49,11,0,55,5,0,50,10,0
61,62,0.012405048407837014,1.8501710218819927e-05,21,49,12,0,56,5,0,51,10,0
62,63,0.012408278093361012,1.833210138305143e-05,22,50,12,0,56,6,0,52,10,0
63,64,0.012408278093361012,1.833210138305143e-05,22,51,12,0,57,6,0,53,10,0
64,65,0.01241529440038307,1.608741516613194e-05,23,51,13,0,58,6,0,54,10,0
65,66,0.012416671973079522,1.6393985480741777e-05,24,52,13,0,58,7,0,55,10,0
66,67,0.012416671973079522,1.6393985480741777e-05,24,53,13,0,59,7,0,56,10,0
67,68,0.012349739643528774,1.5975171213445536e-05,25,54,13,0,60,7,0,56,11,0
