,trial_num,Run,Average Variance,Average time to complete a task,Maximum visits to a cell,RMSE,Step number,Total cells sampled,Total distance travelled,Total idle time,Total waiting time,width,height,task_allocation,num_robots,sampling_strategy,results_dir,vis_freq
0,1,162,85.61317063523056,15.444444444444443,2.0,14.224820493687782,100,8,279,18,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
1,2,162,182.24613205035274,20.055555555555557,2.0,15.651261086371491,100,7,233,64,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
2,3,162,88.73616531279525,23.166666666666668,2.0,12.468313841153028,100,8,289,8,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
3,4,162,87.2388039799408,26.55,2.0,7.496586598535863,100,11,286,11,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
4,5,162,218.60279636312796,19.25,2.0,12.109737358061126,100,8,263,34,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
5,6,162,190.8391143181842,33.333333333333336,1.0,15.447488203545499,100,8,289,8,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
6,7,162,137.15685636307373,23.333333333333332,2.0,15.583976370818284,100,8,289,8,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
7,8,162,42.907274409407314,31.916666666666668,2.0,16.636949309971612,100,8,289,8,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
8,9,162,221.3545886160695,14.966666666666667,1.0,13.970827376686133,100,8,289,8,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
9,10,162,147.2377802296726,15.861111111111109,1.0,13.35863676719621,100,8,285,12,0,162,110,Sequential Single Item (SSI) auction,3,Random,./results/SSI_RS_3robs_20x20/,5
