,Time step,RMSE,Average variance,Number of cells sampled,"Robot (18, 73) distance travelled","Robot (18, 73) idle time","Robot (18, 73) waiting time","Robot (64, 58) distance travelled","Robot (64, 58) idle time","Robot (64, 58) waiting time","Robot (13, 63) distance travelled","Robot (13, 63) idle time","Robot (13, 63) waiting time"
0,1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0
1,2,6.536435640820928,49.07969776728708,3,0,1,0,0,1,0,0,1,0
2,3,6.536435640820928,49.07969776728708,3,1,1,0,1,1,0,1,1,0
3,4,6.536435640820928,49.07969776728708,3,2,1,0,2,1,0,2,1,0
4,5,6.536435640820928,49.07969776728708,3,3,1,0,3,1,0,3,1,0
5,6,6.536435640820928,49.07969776728708,3,4,1,0,4,1,0,4,1,0
6,7,6.536435640820928,49.07969776728708,3,5,1,0,5,1,0,5,1,0
7,8,6.536435640820928,49.07969776728708,3,6,1,0,6,1,0,6,1,0
8,9,6.536435640820928,49.07969776728708,3,7,1,0,7,1,0,7,1,0
9,10,6.536435640820928,49.07969776728708,3,8,1,0,8,1,0,8,1,0
10,11,6.536435640820928,49.07969776728708,3,9,1,0,9,1,0,9,1,0
11,12,6.536435640820928,49.07969776728708,3,10,1,0,10,1,0,10,1,0
12,13,6.536435640820928,49.07969776728708,3,11,1,0,11,1,0,11,1,0
13,14,6.536435640820928,49.07969776728708,3,12,1,0,12,1,0,12,1,0
14,15,6.536435640820928,49.07969776728708,3,13,1,0,13,1,0,13,1,0
15,16,6.536435640820928,49.07969776728708,3,14,1,0,14,1,0,14,1,0
16,17,6.536435640820928,49.07969776728708,3,15,1,0,15,1,0,15,1,0
17,18,6.536435640820928,49.07969776728708,3,16,1,0,16,1,0,16,1,0
18,19,6.536435640820928,49.07969776728708,3,17,1,0,17,1,0,17,1,0
19,20,6.536435640820928,49.07969776728708,3,18,1,0,18,1,0,18,1,0
20,21,6.536435640820928,49.07969776728708,3,19,1,0,19,1,0,19,1,0
21,22,6.536435640820928,49.07969776728708,3,20,1,0,20,1,0,20,1,0
22,23,6.536435640820928,49.07969776728708,3,21,1,0,21,1,0,21,1,0
23,24,6.536435640820928,49.07969776728708,3,22,1,0,22,1,0,22,1,0
24,25,6.536435640820928,49.07969776728708,3,23,1,0,23,1,0,23,1,0
25,26,6.536435640820928,49.07969776728708,3,24,1,0,24,1,0,24,1,0
26,27,6.536435640820928,49.07969776728708,3,25,1,0,25,1,0,25,1,0
27,28,6.536435640820928,49.07969776728708,3,26,1,0,26,1,0,26,1,0
28,29,6.536435640820928,49.07969776728708,3,27,1,0,27,1,0,27,1,0
29,30,6.536435640820928,49.07969776728708,3,28,1,0,28,1,0,28,1,0
30,31,6.536435640820928,49.07969776728708,3,29,1,0,29,1,0,29,1,0
31,32,6.536435640820928,49.07969776728708,3,30,1,0,30,1,0,30,1,0
32,33,6.536435640820928,49.07969776728708,3,31,1,0,31,1,0,31,1,0
33,34,6.536435640820928,49.07969776728708,3,32,1,0,32,1,0,32,1,0
34,35,6.536435640820928,49.07969776728708,3,33,1,0,33,1,0,33,1,0
35,36,6.536435640820928,49.07969776728708,3,34,1,0,34,1,0,34,1,0
36,37,6.536435640820928,49.07969776728708,3,35,1,0,35,1,0,35,1,0
37,38,6.536435640820928,49.07969776728708,3,36,1,0,36,1,0,36,1,0
38,39,6.536435640820928,49.07969776728708,3,37,1,0,37,1,0,37,1,0
39,40,6.536435640820928,49.07969776728708,3,38,1,0,38,1,0,38,1,0
