,Time step,RMSE,Average variance,Number of cells sampled,"Robot (14, 17) distance travelled","Robot (14, 17) idle time","Robot (14, 17) waiting time","Robot (3, 19) distance travelled","Robot (3, 19) idle time","Robot (3, 19) waiting time","Robot (11, 10) distance travelled","Robot (11, 10) idle time","Robot (11, 10) waiting time"
0,1,,,0,0,0,0,0,0,0,0,0,0
1,2,0.057945240287047305,0.2379185854618024,3,0,1,0,0,1,0,0,1,0
2,3,0.057945240287047305,0.2379185854618024,3,1,1,0,1,1,0,1,1,0
3,4,0.057945240287047305,0.2379185854618024,3,2,1,0,2,1,0,2,1,0
4,5,0.057945240287047305,0.2379185854618024,3,3,1,0,3,1,0,3,1,0
5,6,0.07737927484757717,0.15451660579472645,4,4,1,0,3,2,0,4,1,0
6,7,0.03271873026831625,0.1091583496955999,5,4,2,0,4,2,0,5,1,0
7,8,0.03271873026831625,0.1091583496955999,5,5,2,0,5,2,0,6,1,0
8,9,0.03271873026831625,0.1091583496955999,5,6,2,0,6,2,0,7,1,0
9,10,0.03271873026831625,0.1091583496955999,5,7,2,0,7,2,0,8,1,0
10,11,0.05121672570906407,0.09888827862736471,6,8,2,0,7,3,0,9,1,0
11,12,0.01764001002348168,0.08456626799564546,7,9,2,0,8,3,0,9,2,0
12,13,0.01764001002348168,0.08456626799564546,7,10,2,0,9,3,0,10,2,0
13,14,0.01764001002348168,0.08456626799564546,7,11,2,0,10,3,0,11,2,0
14,15,0.01764001002348168,0.08456626799564546,7,12,2,0,11,3,0,12,2,0
15,16,0.01764001002348168,0.08456626799564546,7,13,2,0,12,3,0,13,2,0
16,17,0.01764001002348168,0.08456626799564546,7,14,2,0,13,3,0,14,2,0
17,18,0.01764001002348168,0.08456626799564546,7,15,2,0,14,3,0,15,2,0
18,19,0.01764001002348168,0.08456626799564546,7,16,2,0,15,3,0,16,2,0
19,20,0.01764001002348168,0.08456626799564546,7,17,2,0,16,3,0,17,2,0
20,21,0.01764001002348168,0.08456626799564546,7,18,2,0,17,3,0,18,2,0
21,22,0.01764001002348168,0.08456626799564546,7,19,2,0,18,3,0,19,2,0
22,23,0.015635387145556023,0.06183657420036639,8,19,3,0,19,3,0,20,2,0
23,24,0.015635387145556023,0.06183657420036639,8,20,3,0,20,3,0,21,2,0
24,25,0.015635387145556023,0.06183657420036639,8,21,3,0,21,3,0,22,2,0
25,26,0.015635387145556023,0.06183657420036639,8,22,3,0,22,3,0,23,2,0
26,27,0.014290911443805582,0.06201915072533554,9,23,3,0,23,3,0,23,3,0
27,28,0.014290911443805582,0.06201915072533554,9,24,3,0,24,3,0,24,3,0
28,29,0.014290911443805582,0.06201915072533554,9,25,3,0,25,3,0,25,3,0
29,30,0.014290911443805582,0.06201915072533554,9,26,3,0,26,3,0,26,3,0
30,31,0.014290911443805582,0.06201915072533554,9,27,3,0,27,3,0,27,3,0
31,32,0.014290911443805582,0.06201915072533554,9,28,3,0,28,3,0,28,3,0
32,33,0.014290911443805582,0.06201915072533554,9,29,3,0,29,3,0,29,3,0
33,34,0.014290911443805582,0.06201915072533554,9,30,3,0,30,3,0,30,3,0
34,35,0.014290911443805582,0.06201915072533554,9,31,3,0,31,3,0,31,3,0
35,36,0.014290911443805582,0.06201915072533554,9,32,3,0,32,3,0,32,3,0
36,37,0.013371068162410231,0.037735341500041014,10,33,3,0,33,3,0,32,4,0
37,38,0.006197179089858298,0.031838528826307784,11,34,3,0,33,4,0,33,4,0
38,39,0.012278378100574305,0.03336873392676679,12,34,4,0,34,4,0,34,4,0
39,40,0.012278378100574305,0.03336873392676679,12,35,4,0,35,4,0,35,4,0
40,41,0.012278378100574305,0.03336873392676679,12,36,4,0,36,4,0,36,4,0
41,42,0.012278378100574305,0.03336873392676679,12,37,4,0,37,4,0,37,4,0
42,43,0.012278378100574305,0.03336873392676679,12,38,4,0,38,4,0,38,4,0
43,44,0.011703611565109311,0.030793278490245272,13,38,5,0,39,4,0,39,4,0
44,45,0.011703611565109311,0.030793278490245272,13,39,5,0,40,4,0,40,4,0
45,46,0.011703611565109311,0.030793278490245272,13,40,5,0,41,4,0,41,4,0
46,47,0.011703611565109311,0.030793278490245272,13,41,5,0,42,4,0,42,4,0
47,48,0.011703611565109311,0.030793278490245272,13,42,5,0,43,4,0,43,4,0
48,49,0.011703611565109311,0.030793278490245272,13,43,5,0,44,4,0,44,4,0
49,50,0.011703611565109311,0.030793278490245272,13,44,5,0,45,4,0,45,4,0
50,51,0.011703611565109311,0.030793278490245272,13,45,5,0,46,4,0,46,4,0
51,52,0.011703611565109311,0.030793278490245272,13,46,5,0,47,4,0,47,4,0
52,53,0.011703611565109311,0.030793278490245272,13,47,5,0,48,4,0,48,4,0
53,54,0.011703611565109311,0.030793278490245272,13,48,5,0,49,4,0,49,4,0
