,trial_num,Run,Average Variance,Average time to complete a task,Maximum visits to a cell,RMSE,Step number,Total cells sampled,Total distance travelled,Total idle time,Total waiting time,width,height,task_allocation,num_robots,results_dir
0,10,20,0.019889676334859895,9.33531746031746,5.0,0.008534075684942894,50,50,468,51,0,20,20,random,3,./results/random_sampling_3robs_20x20/
72,72,20,0.003359909255610355,8.952941176470588,6.0,0.000872502474453841,50,50,462,51,0,20,20,random,3,./results/random_sampling_3robs_20x20/
71,73,20,0.014486843672415121,9.932052353104986,7.0,0.009671880649579854,50,50,504,51,0,20,20,random,3,./results/random_sampling_3robs_20x20/
70,71,20,0.0024684816588852383,10.531746031746032,21.0,0.005599866179414175,50,50,574,50,0,20,20,random,3,./results/random_sampling_3robs_20x20/
69,70,20,0.015208762410737056,9.550937001594896,7.0,0.0098698062773026,50,50,546,57,0,20,20,random,3,./results/random_sampling_3robs_20x20/
68,69,20,0.0029832480888977607,10.316666666666668,6.0,0.0012653301245984236,50,50,557,55,0,20,20,random,3,./results/random_sampling_3robs_20x20/
67,68,20,0.020590781622023827,8.487962962962964,11.0,0.00913248348566044,50,50,486,57,0,20,20,random,3,./results/random_sampling_3robs_20x20/
66,67,20,0.0033293205456124742,10.003095975232197,6.0,0.0030140293421671988,50,50,540,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
65,65,20,0.0037366527296590303,9.62690058479532,21.0,0.011461361423891451,50,50,575,55,0,20,20,random,3,./results/random_sampling_3robs_20x20/
64,66,20,0.016289044195181603,9.923076923076923,11.0,0.009129401608148305,50,50,529,53,0,20,20,random,3,./results/random_sampling_3robs_20x20/
63,64,20,0.01977712495525031,10.522331154684094,18.0,0.008047226768048765,51,51,591,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
62,62,20,0.0012744708900527613,8.959649122807017,9.0,0.012138696014837067,50,50,492,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
61,63,20,0.007221637590370342,9.23611111111111,6.0,0.010824065551995912,50,50,497,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
60,61,20,0.010628899556350149,8.763157894736842,7.0,0.009400469233684587,50,50,450,51,0,20,20,random,3,./results/random_sampling_3robs_20x20/
59,58,20,0.0006399895277940864,9.911453470277001,6.0,0.012339695446768374,50,50,562,56,0,20,20,random,3,./results/random_sampling_3robs_20x20/
58,56,20,0.02676232138973283,9.451515151515151,7.0,0.00817782889163166,50,50,512,55,0,20,20,random,3,./results/random_sampling_3robs_20x20/
57,59,20,0.011125179246073081,9.538126361655772,7.0,0.010205203502081019,51,51,512,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
56,57,20,0.0015508262814461276,10.447884416924666,6.0,0.004050615178263905,50,50,568,53,0,20,20,random,3,./results/random_sampling_3robs_20x20/
55,55,20,0.003922376167635882,9.882066276803119,8.0,0.001638626420850992,50,50,548,55,0,20,20,random,3,./results/random_sampling_3robs_20x20/
54,60,20,0.006855674369917615,9.81469298245614,6.0,0.010798836978204425,50,50,498,51,0,20,20,random,3,./results/random_sampling_3robs_20x20/
53,53,20,0.005195249251781709,10.391812865497077,18.0,0.010599788261057811,50,50,547,53,0,20,20,random,3,./results/random_sampling_3robs_20x20/
52,52,20,0.003534256779315106,9.277777777777777,5.0,0.003381669264997915,51,51,491,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
73,74,20,0.005818244048053989,9.377314814814815,6.0,0.01100961496361824,50,50,494,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
51,54,20,0.004748811946455658,9.039351851851853,8.0,0.011183328742384672,51,51,479,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
74,75,20,0.0006938740353432179,12.025925925925925,11.0,0.012280384981784305,50,50,627,51,0,20,20,random,3,./results/random_sampling_3robs_20x20/
